drugName	condition	review	rating	date	usefulCount
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I took Triumeq from early 2016 to early 2017. Although it kept my viral load undetectable, I suffered serious side effects: Bizarre dreams, burping and acid reflux, and serious heart diseases. It caused irregular heart beats, and my heart rates went up to 200 beats per minute when I did light exercises (elliptical) which caused blood pressure to drop so low I collapsed. I also experienced blackout for a brief second several times a day, during walking, sitting, and out of nowhere. I also developed a stenosis on my artery, it's fat buildup in my main blood vessel on my neck that caused my blood flow to drop to 40-50% of normal. And if the fat gets detached and goes into my brain, I will have a stroke. Cardiologist said I should not have heart problem because there is no history of heart disease in my family, and I am not overweight, and this problem only started after taking Triumeq. So doctor changed medication to Descovy + Tivicay, and all the aforementioned side effects went away.	2	June 16, 2019	14
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I found I am HIV positive by the end of August 2018 and back then had VL over 1 million (really high) and CD4 around 650 (30%) and I started the treatment with Triumeq by the end of October. For the first month I was taking Triumeq before going to bed and I experienced all side effects related with the central nervous system such as insomnia, headache, tiredness, unfocused etc. By the end of November the VL has drooped to 650k and  CD4 went up to 1000 (40%). Despite the side effects that were clearly affecting my daily life both personal and professional because I was all the time tired and sleepy, the doctor and I agreed that I'd give one more month to Triumeq switching it to the mornings. It literally solved all the side effects I haven't experienced any of them since I started taking the pill in the morning. At the beginning of January 2019, around 2/2.5 months after starting the treatment, I'm undetectable and in March I had again CD4 count and was still in good level - 1050 (43%).	10	June 9, 2019	11
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Was HIV diagnosed April 1st 2019  My CD4 was at 650 and my viral load was 118.000 after 4 weeks of using Triumeq my viral load is now only 30 :) they didn't re test my CD4 due to it being at 650 :) no side affects either, a little bloated at times but nothing major. I work out 5 times a week and believe this helps a lot. 	10	May 22, 2019	9
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I found out that I'm HIV positive on March 2019. Since my CD4 was at 67 Cells, and my VL at 42.000, my Doc started immediately with Triumeq. After a Month, I was undetectable. I don't know, how my CD4 has risen, but I have nearly no side effects. I take it in the morning, and I feel a bit of fatigue, but nothing else. I'm paying 10 Euro per 30 tablets, my insurance covers.	9	April 25, 2019	7
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Triumeq is a good treatment,  no side effect except for appendicitis which was a  few months after start taking the tablet.  I got appendicitis  and there have been a few similar cases. Apart from this no other sides effects  first treatment, and year next month ,  undetectable after 2  months start taking	9	March 13, 2019	5
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	The only problem I have is the cost when I get switched to Medicare Part D. My cost at that time will be $725.00 per month for 30 pills.	10	January 26, 2019	3
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I was diagnosed HIV+ in April 2014, it was about a year until my CD4 count dropped to 500, I tried 1 medication for about a month that made me ill, so I was switched to Triumeq, it's a lot better, but not without its side effects, up to 4 hours after taking I have make sure there is a toilet near as it makes me go pretty quick. I also get headaches and tiredness for up to 2 hours after taking then it's like I just push through it. Overall it's good, I can't complain, I mean what's the other option????...lol, I'm glad medicine is moving on so well.  Rich United Kingdom	8	December 4, 2018	9
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	"November 2016 was my initial HIV+ detection.  I learned that I had a 1 million+ viral load and only 46 T-cells.   Today, I am undetectable.  Undetectable!  It is with some seriously amazing awe that I also read on my latest blood work that my T-cell count is now 402!  My infectious disease doctor told me that I might be experiencing ""IRIS"" (immune reconstitution syndrome) and believes that if I am adherent to the prescription regimen, I may see a 500 t-cell count in the coming year.  Several good people prayed for me; for them I am truly grateful.  I am also taking time to write here because I am convinced that Triumeq saved my life.  I hope my comments can be of help to others."	10	December 2, 2018	24
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Diagnosed in July with an unknown infection date.     First test showed a CD4 of 550 and VL of 38000.  Started medication late due to some fights with the insurance company.    Took my first pill on September 7.   Had my follow up blood work drawn on October 3.   I am NOW undetectable! No changes to my CD4 but I know it will increase.    The only side effect  I have noticed in my first month is some minor bloating.   Had some trouble falling asleep for the first week but I assume that was the power of suggestion having read all the possible symptoms.    I know it is early on to review the medication but I am undetectable in less than 30 days.  I just wanted to share!	10	October 11, 2018	12
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Started this about 10 months ago and I haven't had any side effects or trouble with sleeping, I am very thankful for this medicine and pray it keeps me happy and healthy forever!	10	October 9, 2018	11
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Just started Triumeq with a CD4 count of 271 and a viral load of 104,000. Other than a slight headache, vivid and lucid dreaming (which was awesome)  and vomiting (I took it on an empty stomach.) I haven't had any other side effects. I take it after I eat breakfast in the morning and go on about my day with normal energy levels. Will update when I get my one month labs done to see the progress of this medication.	9	September 30, 2018	10
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Started this medication 6 months ago. After the first month I was undetectable! My counts are fantastic. Only issue I’ve had is that I’ve developed some gastrointestinal problems but I’m totally fine with that. I’d much rather be a bit gassy and bloated than no longer have a functioning immune system.	10	September 29, 2018	15
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	To be honest I was diagnose + in 2004 and didn't actually started meds right away until my health started to fade away little by little after some time with the virus. So when I decided to get on treatment they started me with Kaletra & Combivir for approximately 3 -5 years after that I became resistant to this cocktail and was switch to something else which I can't recall at the moment since I tried a few different ones. Long story short:I started taking triumeq approximately 2 years ago and they really had help me a lot.	8	September 25, 2018	10
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I have had HIV since 2008. On my first medicine which was Atripla I could not sleep,  I had headaches and crazy dreams. Dr. prescribed me Triumeq which I have  no side effects from. My only problem now is the cost of Triumeq I will be going on Medicare Part D in January 2019 my cost will be about $700.00 per month. I'll be broke in about four years.		July 22, 2018	9
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I was diagnosed with full-blown AIDS 25 years ago I was taking trezaver then atripla 15 years then I got sick last year I was told that I only have a year to live I get boils all over my body about the size of a baseball. Doctor switched me to triumeq I was hesitated to take it I just opened the bottle after a month I've been taking it now for three days, no side effects yet had a few headaches but that's about all. Please pray for me I have a wife and a family	6	June 26, 2018	27
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I was the first reviewer and also posted an update in 2016, thought I would take a second and give an update.  I’m still on Triumeq and still highly recommend this drug.  After switching in 2014 (literally the day the drug was approved), I still have no side effects.  It’s been great.  Best wishes everyone.	10	June 8, 2018	14
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I have been HIV positive for 14 years. At first I was on Atripla. It kept me undetectable and a high CD4 (between 600-900). The main side effect that I had was very vivid, disturbing dreams.  So my doctor decided to switch me to Triumeq 4  years ago. I love it. Same high CD4 and undetectable. And I experience no side effects whatsoever. Very thankful for this drug.	10	May 27, 2018	8
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I have been on Triumeq for almost 2 years.  Viral load and CD4 are great.  However, I have gained almost 25 pounds....all in gut, back, chest and starting to develop a small buffalo hump.  Nothing in diet or workout regimen has changed. I have gone from a medium T-shirt to a X-Large.  33 size pants to 35 waist.  42 jacket to 44 jacket.  16 collar to a 17-1/2 collar.  Not happy with this at all.  I am seeing more and more reports of this with Triumeq users online now.	5	May 20, 2018	14
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I had postponed treatment for around 7 years but now have started. In my recent test my numbers were low (290 CD4) and my VL was about 16k.   This medication is amazing. So far I had no side effect whatsoever and I think a large part of the negative feedback people share could be shaped by their own apprehensions and worries.  Best of all it's easy to take. I am undetectable 4 weeks into treatment. I also feel that I have better energy and my constant worry about what the virus is doing to my body seems to have subsided for now.   Highly recommend	10	May 2, 2018	10
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	"So I hate to be ""that"" person, but I guess I am.  Was on Genvoya/Stribild since 7/2016 with no issues whatsoever other than elevated cholesterol.  Dr. decided to change me to Triumeq, which I took for 14 days.  I have not been right at all for two weeks.  Extreme headrush (like a combo drunk/stoned feeling), anxious, no energy, itchy everywhere.  Just feel awful after taking it.  We chatted today, going back on Genvoya and cannot wait to go pick it up.  Don't let this scare you, everybody will find their med. that works w/o any side effects.  For me, that is not Triumeq."	3	April 10, 2018	16
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Recently started taking Triumeq almost 4 weeks ago. Use to be on the sustiva and combvr cocktail for about 5 years. Always hated taking sustiva made me feel extremely groggy, terrible dreams and so I took it upon myself to stop taking it. Went on a 3 year hiatus. Needed a break from all of it including doctor visits.(terrible idea) fell victim to pneumonia in February and ID dr put me on Triumeq. So far it’s been amazing. 1st night my head became very tingly and I felt real shaky but after that it’s been amazing. No side effects and I’ve started gaining my weight back again. Did lab work yesterday so hopefully my cd4 has gone up. My cd4 was a 12 last test. Good luck to all of you and remember you aren’t alone in this fight.		March 29, 2018	11
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I was diagnosed in February of 2016.  My viral load was 180,000 and my cell count was 157.  I had not been sick, but I feel I was on the verge.  I had experienced some trouble with thrush, but that was the worst at that point.  My doctor started me on Triumeq within a week of my diagnosis.  I had absolutely no side effect other than my face itching!  It was strange.  My doc seemed to think it might have been my immune system revving up and doing a number on my Rosacea.  It is better, by the way.  Within four months I was basically undetectable at 95 na d my viral load down to 375.  At last check in October of '17, I was completely undetectable and my cell count up to 567.  I am so very pleased.  Other than the face itching, which has long since stopped, I have had not a single side effect.  I do wish my cell count would go up faster, but I am so thankful that I have no side effects that I can't bring myself to complain!	10	March 11, 2018	6
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I found out October 2nd that I was HIV positive. Felt so unhealthy and caught it so fast. Losing weight, loss of appetite, having a really hard time sleeping when you’d always get those heat flash or waking up so hot. It was horrible in my experience. It took me a month to get this medication which is triumeq. The first medication my doctor had told me about and said it was the best one out there. I couldn’t agree more. I’ve been one this medication going on 3 months now and my counts went from 150/500 to over 240/500 within a month. I’m doing way better. I’m way healthier. Even though I don’t like the tiredness and a frequently headache. But I’m telling you this medication works really great. I’ve never felt so much better and felt so much changed since I’ve been on triumeq. I should be undetectable by my next appointment I go to in a month. I couldn’t be more grateful for this medication that could help us all through this situation.		February 10, 2018	5
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I was diagnosed a few days before Christmas in 2017. I was going to be put on Atripla but after hearing horror stories I asked for an alternative, after a quick blood test for a gene I was put on Triumeq and after a matter of weeks my viral load went from the hundreds-of-thousands to undetectable and my CD4 has risen ever since, I’m now at 555. I wasn’t sure if I was prescribed Triumeq or a horse tranquilliser at first but even though they are quite big it’s still easier to swallow than some paracetamols. Overall I would rate this 10/10 and the side-effects seem to be nonexistent! I know everyone is different but I do strongly suggest to anyone who is unhappy with their current medications to ask about Triumeq because for me, it’s working wonders!	10	February 9, 2018	8
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I was diagnosed December 2018 this is my first day taking the medication. I’m gonna update my phone progress. A little scared as I'm 3 months pregnant and don’t want my unborn to contract the virus.		January 30, 2018	7
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I was diagnosed December 2016 with a high viral load (I don’t remember exact numbers anymore) and a cd4 count of 201.   I went on Triumeq the day my diagnosis was confirmed.  The first 4 weeks on this were absolutely terrible.  I could not sleep, had crazy mood swings and was overall not enjoying anything.  (Perhaps it also had to do with the news of this life changing diagnosis) but at my 1 month check up I was undetectable and my cd4 had doubled to 440 making all the sleepless nights completely worth it.   A year later I have continued to be undetectable and have little side effects.   Sometimes my foot goes numb, and my arms and legs fall asleep easily. I do occasionally have night terrors and very vivid dreams, but as a horror movie buff they don’t bother me.   In my opinion this medication is amazing and one of the best out there.	9	January 28, 2018	5
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I have been on Triumeq for over a year now and my viral load went from hundreds of thousands to undetectable.  My immune system went from 300 to almost 600 now. I did have appendicitis and had to remove my appendix since beginning this regimen but don't know if its related. I am obese weight at 230lbs an triglycerides are now high and blood pressure too. I'm trying to lower these through change of diet and exercise. Have been experiencing burning sensations in my right big toe and foot pain periodically.  Don't know if related to the drug. Cutting back on processed meats and red meats now hence they cause more inflammation.  This helps tremendously as well as cardio exercise and plenty of water cutting out sodas now too.		December 12, 2017	7
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Had horrible sleep problems two weeks after , and then a few weeks later started getting rash. Wouldn't recommend this to anyone trust me, you do not sleep while on this drug. I switched to epivir and tivicay and have had NO issues at all.		October 28, 2017	11
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Diagnosed back in 2008. Have been on Atripla for about 10 years and just switched to Triumeq this week. No major side effects whatsoever and best of all I love waking up not feeling groggy or drowsy; also no weird crazy dreams! So far any side effects have been extremely minimal to none. I look forward to this new medication which is reported to be less toxic and based on my own experience would recommend you consider making the switch.		October 24, 2017	9
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	August 8th 2017 tested positive. Viral load 10,109 cd4 512 Started meds August 27th 2017 Retested September 28th 2017 And viral load is 49 and cd4 865 I had a few minor headaches and I now take my meds with or without food with no problems. I take my meds in the morning at my first break 10 am. Thanks to this site I was nervous at first read all the reviews and they helped me and knowing what to expect. So thought I would return the favor.	10	September 30, 2017	15
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Was diagnosed 8/12/17, began treatment 9/25. I was super pumped. Initially had a slight rash and my thumb didn’t work, got too stiff to move two times for like a minute.  Second day I felt great. High energy. Stayed up late. Yesterday I felt like butt all day. Sore. Stomach hurt. Especially when I swallowed food or drink. Today wasn’t a whole lot better. At least yesterday I could eat. I’ve taken 7 Advil  over quite a long and now I can feel the crappiness coming back on. Called my ID specialist and she told me to stop taking it and come in tomorrow morning. I’m disappointed. But I gotta get healthy. My Cd4 counts are 9 and viral load is is 181,000. I just want to get better.	5	September 28, 2017	11
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I discovered my new status in July 2017 VL 94K and CD4 126. After 4 weeks I had blood work again and I got an awesome results VL 85 and CD4 360. Hopefully I will be undetectable in my next check. I haven't gotten any symptoms like nausea, vomiting, diarrhoea, headaches etc. This medicine has been working greatly into my body.	10	August 27, 2017	7
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Infected HIV in February, diagnosed March through my own choice/fear/indecision started Triumeq 2 weeks ago. I have had a very positive experience so far. I have had minor side effects, slight headaches, a little dizzy spell, what feels like mucus on chest but nothing frightening apart from the one dizzy spell. I do feel better overall than I did, no more sore throat and I feel like I have more energy, though I am tired in the evenings and I sleep well. I feel my appetite has increased so am being conscious to exercise every day. I take the Triumeq pill in the morning half way through breakfast, I eat oat porridge for breakfast, eat half and then swallow Triumeq with a large glass of water, then finish porridge.  No nausea/indigestion.		August 17, 2017	8
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I switched to this med because my last med put me in a horrible fog (Atripla) . Triumeq is working for me but it gives me pretty bad body aches especially in my lower back where my kidney area is and around my under arms. If I have an alternative I will switch. It makes me feel pretty crappy	4	July 31, 2017	10
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Diagnosed in Feb of 2015 and tried 2 other drugs. The last 2 causes so much nausea and vomiting that I couldn't take it. Also, it was messing up my liver. My doctor put me on this and I've had little to no side effects. I have nausea but that's only if I take it on a empty stomach and it only last for about 20 minutes. I'm undetectable now and my CD4 count came from 14 to 376 the last time I checked last year. I'm going back in September to check my progress. This drug saved my life. I was basically on my deathbed before this drug.	9	July 22, 2017	20
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Terrible heartburn and intergestion. Easy to take, but went back to sustiva and combivir because of heartburn.	7	June 18, 2017	3
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I was born with HIV  my birth mother transfer it & had it all my life. Never taken medicine my immune system dropped drastically I got a thrush in my mouth and my skin started to break out really bad. I've been on triumeq for 3 days and I must say I think I'm only taking this medicine with food. Geez the nausea has been tough and a Lil lost of appetite I did have to use antifungals as well due to the thrush but hoping it does gets better. I'm excited for this journey, it's encouraging to read other stories... 	5	June 12, 2017	11
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Was diagnosed in 2002, but started taking truvada and isentress in 2010 before being put on triumeq. CD4 count was 700 and VL was undetectable.  My doctor switched me over and boy the side effects are horrible.  I had stomach aches every day but as I take this medicine they go away. I'm still undetectable  but I want my CD4 count to rise in the 1000's. I love that it is only one pill a day. I will get checked again  in August to see the progress. My numbers have never dropped. Will post in August.		June 3, 2017	5
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I tested positive for HIV in January this year and started treatment with Triumeq at the end of February with CD4 < 150 and VL 66,000. On 26 March I had bloodwork again, with CD4 = 415 and VL < 40.  I think the results speak for themselves, this drug is like a nuke. Zero side effects except for general malaise and fatigue during the first couple of days - which I however attribute to Immune Reconstitution Syndrome. Unless you are hypersensitive to abacavir, I believe there is scarcely anything better on the market at the moment.	10	June 2, 2017	9
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I was diagnosed in January 2011. My own immune system was able to manage my HIV for a couple years, but my health started to fail in 2013. I started with Atripla, and I'm still recovering from the extremely vivid nightmares I experienced.  I switched to a couple different combinations of drugs, but I couldn't adhere to the dosing schedules. Triumeq has been a godsend. One pill a day, and no nightmares. The only side effects I've experienced are upset stomach, weakness, and headaches.  I had one very bad spell where I nearly lost control of my motor functions and I fell in the bathroom and couldn't get back up for a short period of time.  Otherwise, my CD count has been stable at ~800, and I've been undetectable since 2013.	9	May 1, 2017	12
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	This medicine worked very well for me within a month of taking it I became undetectable!! I had no major side effects. I do however get head aches every once and awhile but nothing I can't deal with.I currently crush mine and put it in yogurt so I'm still getting used to the taste...yuck..but its not that bad.	10	April 29, 2017	4
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Newly diagnosed and Triumeq is the only medication I've ever experienced. Just got results after taking it for 6 weeks. CD4 is just over 1,000. That's up from 764. My viral load is down from 33K to 26K. So far so good. I'm hoping to be undetectable in 3-4 months like I been reading in people's comments. I've had no apparent side effects until very recently I seem to have some jaw tightening and stiffness. But no headaches and I sleep well. I also been really gassy and I MUST EAT when I take it. But I'm a happy camper overall.	10	April 21, 2017	3
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I was diagnosed in Feb 2014.   My doctor did some sort of genes/DNA test to see which drug was compatible for my body.   Triumeq was the best option suited for me.  Must admit. At first. It was hard. The first month was as expected. Feeling sick and nausea. Felt like I had to eat when I took my pill. But once into the 2nd month. Things improved. The longer time went on. The less I felt any side affects.   It took me 4 months to be undetected.  By this time I felt myself again.   Now. In 2017. I can take it my meds with or without food. At any time. Sometimes I will take my meds with wine or on a complete empty stomach and feel nothing. I can still take my meds and have no side effect		March 28, 2017	10
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I have been HIV Positve for about 32 years.  The last cocktail  I was taking for about 8 years was Epzicom and Combivir . A year ago I changed my regimen to Triumeq . Initially, the side effects I experienced were sleeplessness, nausea and stomach gas, these symptoms lasted for about 3 months. Due to the sleeplessness, started taking the medication in the mornings  instead of the evenings. The first positive thing I noticed was that my skin became more hydrated and I had less skin eruptions. After one year on the medication I feel very normal , I continue to workout 3 times a week and my energy level is high. My Viral Load remains undetectable and my CD4 went from 800 to 1,150 . I am very happy that I made the switch to Triumeq .	10	February 24, 2017	23
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I take truimeq  600mg/50mg/300mg just had test shows that back being detectable again. I don't understand why I take on time every night,  any ideas why. thanks	10	February 19, 2017	5
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Diagnosed 5 years ago been on truvada and isentress with no problems at all!! Doctor wanted to switch me to this because it's a lot easier (1 pill once a day). Been on this for the past week and have had horrible side effects. Dizzy, no sleep, nauseous, and body/ joint pain. Switching back to my old medication tomorrow. Goodbye triumeq!!!	3	February 11, 2017	6
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	My physician put me on Triumeq about 12 months ago.  I had been on other anti-viral medications that were not effective in controlling viral load, and CD 4 counts.  I began taking Triumeq and no side effects whatsoever, with the exception of mild fatique.  I also have type 2 diabetes & cardio vascular disease.  I am 65 years old, and enjoy a healthy life style, thanks to this medication.  I strongly urge anyone to discuss this option with their health professional.	10	February 9, 2017	5
Abaloparatide	Tymlos (abaloparatide)	I am just now starting my 4th month.  I don’t have any serious side effects; however I was already being treated for heart palpitations so that may be why!  I do get tired during the day.  Sometimes I feel like I can ‘feel my bones’.  My problems areas include my spine -4.7 and my hip.  I plan to have a bone scan after 6 months to see if there’s been progress.  If not, I’ll need to make a decision of whether or not to continue.  I takes my injections in the morning.	7	April 19, 2021	0
Abaloparatide	Tymlos (abaloparatide)	I am just about finished with my second pen.  I switched to injecting at bed time because of side effects and that has worked well.  I do get the dizziness and palpitations. During the day I do experience fatigue and brain fog but seems to be lessening.  I have fractured 3 vertebrae and have a score of -4.3 in my spine so I am planning on staying on it.	9	April 10, 2021	3
Abaloparatide	Tymlos (abaloparatide)	I’ve been on Tymlos for a month now. My problem is itching. I can hardly sleep at night the itching is so bad. Not sure if I will continue. Does anyone else have this problem.	4	March 25, 2021	0
